MSSIM;SSIM;VIF;VSNR;VIFP;NQM;UQI;PSNR-HVS;XYZ;IFC;PSNR-HVS-M;PSNRY;PSNR;MSE;SNR;WSNR;LINLAB;DCTUNE;MOS;MOS-STD;
0.9807;0.9782;0.6523; 23.8244 ;0.5396; 26.6174 ;0.8685; 31.77570 ;-4.55360 ; 6.35400 ; 36.30180 ; 31.80420 ; 26.92870 ;-131.88954 ; 23.65250 ; 37.13920 ;-415.50000 ;-11.65690 ; 4.22860 ; 0.5482 ;
0.9615;0.9571;0.5352; 20.4375 ;0.4273; 23.4234 ;0.8078; 28.76550 ;-6.62290 ; 4.98060 ; 32.62640 ; 28.92030 ; 24.04320 ;-256.30694 ; 20.76850 ; 33.66050 ;-592.60000 ;-15.95820 ; 4.02940 ; 0.5223 ;
0.9315;0.9194;0.4126; 16.6456 ;0.3160; 19.4123 ;0.7176; 25.50150 ;-9.33760 ; 3.74580 ; 28.61290 ; 25.77070 ; 20.99130 ;-517.54767 ; 17.61910 ; 29.52450 ;-880.70000 ;-22.75330 ; 3.30560 ; 0.4285 ;
0.9842;0.9809;0.6818; 27.7444 ;0.5658; 22.6299 ;0.8955; 32.16310 ;-2.47540 ; 6.65120 ; 35.71260 ; 33.54030 ; 30.26630 ;-61.15759 ; 25.44080 ; 33.77560 ;-307.80000 ;-14.73500 ; 4.77780 ; 0.6193 ;
0.9789;0.9726;0.5846; 24.1922 ;0.4882; 21.7474 ;0.8662; 29.92080 ;-4.72030 ; 5.51560 ; 33.32240 ; 31.37470 ; 27.12800 ;-125.97384 ; 23.33230 ; 31.90960 ;-516.00000 ;-15.18440 ; 4.11110 ; 0.5329 ;
0.9588;0.946;0.4745; 19.5871 ;0.3993; 17.5729 ;0.8171; 26.07950 ;-7.50640 ; 4.38970 ; 28.56590 ; 28.05160 ; 24.06970 ;-254.74775 ; 19.89900 ; 26.87700 ;-935.90000 ;-24.03490 ; 3.20000 ; 0.4148 ;
0.9237;0.9017;0.3804; 15.1606 ;0.3149; 12.2729 ;0.7346; 22.51770 ;-14.50840 ; 3.45010 ; 24.15050 ; 25.29740 ; 21.12970 ;-501.31461 ; 17.17340 ; 22.36160 ;-1.288.50000 ;-43.80520 ; 2.16670 ; 0.2809 ;
0.9844;0.9859;0.6721; 23.6871 ;0.5186; 26.5498 ;0.8875; 29.40130 ;-2.31900 ; 8.08650 ; 33.96210 ; 30.46500 ; 29.18570 ;-78.43508 ; 22.32030 ; 35.88980 ;-358.70000 ;-9.07440 ; 4.73530 ; 0.6138 ;
0.9467;0.9453;0.451; 16.9611 ;0.3570; 21.7261 ;0.7131; 24.49100 ;-4.26350 ; 4.95800 ; 27.23490 ; 26.60190 ; 25.33690 ;-190.27878 ; 18.45170 ; 30.27080 ;-594.70000 ;-15.66180 ; 3.91430 ; 0.5074 ;
0.852;0.8163;0.2306; 11.8962 ;0.2247; 16.3084 ;0.4745; 20.56600 ;-6.37800 ; 2.47610 ; 22.20720 ; 24.05500 ; 22.81950 ;-339.72723 ; 15.90310 ; 24.79370 ;-903.40000 ;-24.73340 ; 3.27780 ; 0.4249 ;
0.6846;0.5848;0.0716; 8.5956 ;0.1093; 10.8232 ;0.2398; 17.74540 ;-8.34780 ; 0.75790 ; 18.77540 ; 22.29140 ; 21.08330 ;-506.69937 ; 14.13880 ; 19.96440 ;-1.278.40000 ;-37.22270 ; 2.17650 ; 0.2821 ;
0.9822;0.9793;0.5953; 25.4548 ;0.5169; 27.8937 ;0.8619; 31.81450 ;-2.03450 ; 5.84450 ; 36.96430 ; 32.83530 ; 30.14120 ;-62.94487 ; 24.69720 ; 37.70320 ;-321.00000 ;-6.89830 ; 5.71430 ; 0.7407 ;
0.9501;0.9387;0.4128; 19.2752 ;0.3790; 23.4108 ;0.7399; 27.14230 ;-3.72180 ; 3.93060 ; 30.49990 ; 29.03380 ; 26.94140 ;-131.50442 ; 20.88550 ; 32.64970 ;-518.80000 ;-11.02480 ; 4.91430 ; 0.6370 ;
0.8744;0.8361;0.243; 14.2824 ;0.2504; 17.7574 ;0.5561; 22.88760 ;-6.53880 ; 2.32480 ; 24.95310 ; 25.95030 ; 24.04910 ;-255.95897 ; 17.80000 ; 27.03060 ;-819.80000 ;-19.79710 ; 3.00000 ; 0.3889 ;
0.6811;0.6078;0.0891; 9.4803 ;0.1257; 9.8586 ;0.2692; 18.67030 ;-10.96840 ; 0.90980 ; 19.79290 ; 22.76670 ; 21.04530 ;-511.15235 ; 14.61430 ; 19.85750 ;-1.340.20000 ;-52.42170 ; 1.20000 ; 0.1556 ;
0.9904;0.9939;0.7488; 31.2856 ;0.5055; 32.4437 ;0.887; 36.56120 ;-1.86730 ; 7.78810 ; 48.01180 ; 31.95850 ; 30.26360 ;-61.19562 ; 23.82230 ; 44.74360 ;-245.40000 ;-4.50140 ; 5.94440 ; 0.7706 ;
0.9719;0.9741;0.5061; 22.7326 ;0.3858; 26.9669 ;0.7896; 30.08070 ;-3.84110 ; 4.72450 ; 37.18210 ; 28.76330 ; 27.05720 ;-128.04433 ; 20.61600 ; 36.95950 ;-440.90000 ;-8.74890 ; 5.16670 ; 0.6698 ;
0.9107;0.8894;0.2678; 15.7046 ;0.2469; 18.6400 ;0.627; 23.69010 ;-7.56590 ; 2.40860 ; 26.58450 ; 25.72800 ; 23.92540 ;-263.35427 ; 17.57950 ; 28.32650 ;-783.70000 ;-16.33120 ; 3.30560 ; 0.4285 ;
0.8213;0.7674;0.1468; 11.8020 ;0.1532; 13.2156 ;0.4569; 20.17130 ;-14.97660 ; 1.31430 ; 21.80760 ; 23.65220 ; 20.90010 ;-528.53087 ; 15.48900 ; 23.11190 ;-1.539.40000 ;-26.84560 ; 1.45710 ; 0.1889 ;
0.9923;0.9895;0.6512; 34.8654 ;0.4890; 33.5202 ;0.8651; 32.70720 ;-1.75240 ; 6.63600 ; 39.80240 ; 31.63590 ; 30.09010 ;-63.68987 ; 23.49460 ; 43.61260 ;-262.10000 ;-6.73890 ; 5.80000 ; 0.7519 ;
0.9835;0.9741;0.4726; 31.5262 ;0.3890; 30.5597 ;0.7815; 28.32180 ;-2.98370 ; 4.52410 ; 32.92450 ; 28.66080 ; 27.17820 ;-124.52609 ; 20.51360 ; 38.46730 ;-413.60000 ;-10.26000 ; 5.16670 ; 0.6698 ;
0.9158;0.8764;0.2289; 16.4209 ;0.2387; 20.7746 ;0.5808; 22.92230 ;-5.53240 ; 2.08220 ; 25.25360 ; 25.48540 ; 24.03130 ;-257.01020 ; 17.33500 ; 29.11680 ;-761.30000 ;-18.71720 ; 3.55560 ; 0.4609 ;
0.6504;0.5564;0.0426; 8.8063 ;0.0817; 10.1484 ;0.2205; 18.14250 ;-9.31510 ; 0.40580 ; 19.21800 ; 22.45680 ; 21.06280 ;-509.09679 ; 14.30540 ; 20.09800 ;-1.370.60000 ;-39.52590 ; 1.00000 ; 0.1296 ;
0.9808;0.9731;0.8593; 22.3928 ;0.8461; 35.1745 ;0.9147; 30.74450 ;-1.48610 ; 16.76870 ; 33.03160 ; 32.46490 ; 31.08240 ;-50.68044 ; 24.32880 ; 40.93340 ;-215.80000 ;-15.85480 ; 6.42420 ; 0.8328 ;
0.9516;0.9384;0.6741; 17.5575 ;0.6543; 29.2361 ;0.7923; 26.35170 ;-3.47890 ; 12.13600 ; 28.43480 ; 28.50060 ; 27.18530 ;-124.32268 ; 20.35360 ; 35.18080 ;-464.40000 ;-26.77220 ; 4.30560 ; 0.5581 ;
0.9125;0.8854;0.4884; 14.1718 ;0.4592; 29.8289 ;0.6509; 23.45620 ;-5.30340 ; 7.75060 ; 25.64000 ; 25.23800 ; 23.92950 ;-263.10576 ; 17.08870 ; 33.39340 ;-669.40000 ;-29.44160 ; 4.11110 ; 0.5329 ;
0.8477;0.8098;0.229; 11.4972 ;0.2158; 28.5161 ;0.4808; 20.85160 ;-7.16110 ; 2.24560 ; 22.92250 ; 22.61170 ; 21.31240 ;-480.66263 ; 14.46070 ; 30.39870 ;-927.80000 ;-29.57860 ; 3.38890 ; 0.4393 ;
0.9681;0.9501;0.7118; 17.0831 ;0.5682; 30.1304 ;0.8809; 26.83510 ;-3.77690 ; 8.58190 ; 28.99360 ; 30.86680 ; 29.49800 ;-72.99286 ; 22.72850 ; 35.06400 ;-432.60000 ;-21.85320 ; 4.17140 ; 0.5407 ;
0.9037;0.8564;0.3895; 15.4681 ;0.3440; 17.5257 ;0.7771; 23.68090 ;-4.94420 ; 3.57280 ; 25.30130 ; 28.42840 ; 27.07060 ;-127.64987 ; 20.28270 ; 26.71500 ;-657.10000 ;-24.93640 ; 3.82350 ; 0.4956 ;
0.8829;0.8128;0.3339; 13.2679 ;0.2731; 16.0632 ;0.6909; 21.99340 ;-6.42450 ; 3.08940 ; 23.78330 ; 25.64800 ; 24.31790 ;-240.59708 ; 17.49890 ; 25.12420 ;-818.90000 ;-29.36120 ; 3.51430 ; 0.4556 ;
0.9227;0.8687;0.3764; 15.0941 ;0.3485; 24.0931 ;0.6964; 21.66960 ;-6.61220 ; 3.88680 ; 24.12140 ; 22.13740 ; 20.78170 ;-543.13822 ; 13.98730 ; 29.82180 ;-1.173.30000 ;-30.23390 ; 3.17650 ; 0.4118 ;
0.9834;0.9756;0.8312; 19.7450 ;0.8668; 23.1701 ;0.9601; 28.10910 ;-2.14250 ; 58.82740 ; 29.80750 ; 30.97550 ; 29.75470 ;-68.80347 ; 22.82220 ; 33.23360 ;-383.60000 ;-18.94690 ; 6.34290 ; 0.8222 ;
0.9529;0.9376;0.7185; 15.1092 ;0.7890; 16.1648 ;0.9224; 24.17170 ;-3.49210 ; 46.98720 ; 25.29020 ; 28.26320 ; 27.08610 ;-127.19509 ; 20.11030 ; 26.88540 ;-609.90000 ;-28.37380 ; 6.34290 ; 0.8222 ;
0.9139;0.8889;0.599; 12.7933 ;0.6940; 13.2424 ;0.8734; 22.30440 ;-4.44320 ; 36.60190 ; 23.32180 ; 26.52400 ; 25.35770 ;-189.36964 ; 18.37130 ; 24.10050 ;-804.00000 ;-37.95610 ; 5.69440 ; 0.7382 ;
0.8646;0.8411;0.514; 10.6621 ;0.6144; 9.8457 ;0.8233; 20.23850 ;-6.28600 ; 28.50640 ; 21.07400 ; 24.73490 ; 23.56440 ;-286.18071 ; 16.58230 ; 21.02240 ;-1.063.10000 ;-53.59850 ; 4.61110 ; 0.5977 ;
0.8663;0.9098;0.8449; 9.2446 ;0.8430; 8.0041 ;0.899; 20.73190 ;-7.22060 ; 62.09180 ; 21.15540 ; 25.85320 ; 24.46760 ;-232.44508 ; 17.68840 ; 19.01430 ;-1.159.80000 ;-125.83450 ; 2.51430 ; 0.3259 ;
0.9049;0.9495;0.9222; 8.8788 ;0.9200; 8.0605 ;0.9464; 21.58180 ;-6.21500 ; 71.47640 ; 21.88400 ; 26.55880 ; 25.23970 ;-194.58545 ; 18.40390 ; 19.33150 ;-1.114.00000 ;-152.33500 ; 2.97060 ; 0.3851 ;
0.9375;0.9705;0.9574; 7.7535 ;0.9548; 7.9116 ;0.971; 21.85200 ;-5.65920 ; 76.74330 ; 22.08010 ; 26.68580 ; 25.35220 ;-189.60962 ; 18.51970 ; 19.25660 ;-1.279.40000 ;-195.18360 ; 3.85710 ; 0.5000 ;
0.9517;0.9816;1; 8.1733 ;0.9793; 8.0107 ;0.9836; 22.17970 ;-4.97190 ; 79.51640 ; 22.35700 ; 27.02680 ; 25.68930 ;-175.44878 ; 18.87910 ; 19.39110 ;-1.751.90000 ;-159.50330 ; 4.27780 ; 0.5545 ;
0.9994;0.9956;1; 617.6606 ;10.000; 26.4934 ;0.9925; 25.32110 ;-3.73270 ; 82.78810 ; 25.32660 ; 29.44100 ; 28.13080 ;-100.00008 ; 21.30070 ; 21.46820 ;-1.146.40000 ;-33.13410 ; 5.94120 ; 0.7702 ;
0.9968;0.9808;1; 40.4670 ;0.9954; 24.9027 ;0.9787; 19.31800 ;-8.63640 ; 50.19570 ; 19.31960 ; 23.44480 ; 22.13030 ;-398.15334 ; 15.29190 ; 15.46020 ;-1.975.00000 ;-65.82530 ; 5.62860 ; 0.7296 ;
0.9957;0.9736;1; 40.6526 ;10.000; 21.1146 ;0.9716; 15.77820 ;-11.51100 ; 82.43020 ; 15.77860 ; 19.90560 ; 18.58840 ;-899.99555 ; 11.75830 ; 11.92580 ;-3.778.70000 ;-99.40220 ; 5.88890 ; 0.7634 ;
0.9831;0.9143;1; 34.9475 ;0.9422; 20.9407 ;0.9098; 13.38900 ;-17.02810 ; 25.16360 ; 13.39390 ; 17.51740 ; 16.27090 ;-1.534.58292 ; 9.36650 ; 9.53880 ;-3.552.30000 ;-126.73310 ; 4.85710 ; 0.6296 ;
0.9857;0.9842;1; 18.5010 ;10.664; 13.6695 ;0.9786; 27.06500 ;-7.04340 ; 26.93980 ; 28.43770 ; 31.57680 ; 30.00550 ;-64.94270 ; 23.44930 ; 24.86950 ;-893.90000 ;-31.49070 ; 6.50000 ; 0.8426 ;
0.9666;0.967;1; 16.4354 ;0.8844; 11.5481 ;0.9558; 25.10670 ;-7.08290 ; 25.03380 ; 26.15100 ; 29.63050 ; 27.97760 ;-103.59060 ; 21.47580 ; 22.90160 ;-1.019.60000 ;-41.04410 ; 4.97140 ; 0.6444 ;
0.9442;0.9378;1; 11.1789 ;11.040; 7.7089 ;0.9261; 20.28970 ;-13.91870 ; 22.85930 ; 21.21740 ; 24.79660 ; 23.50810 ;-289.91478 ; 16.65390 ; 18.10490 ;-2.102.30000 ;-61.91000 ; 6.19440 ; 0.8030 ;
0.8383;0.8493;0.6717; 9.9521 ;0.7292; 5.7361 ;0.7904; 19.08810 ;-12.84600 ; 22.98760 ; 19.71190 ; 23.61580 ; 21.96090 ;-413.99049 ; 15.45860 ; 16.88440 ;-1.956.90000 ;-82.02410 ; 3.97220 ; 0.5149 ;
0.972;0.9732;0.6789; 30.1958 ;0.4708; 27.1061 ;0.739; 34.81000 ;-3.06470 ; 4.19250 ; 38.57550 ; 34.84050 ; 30.09070 ;-63.68107 ; 23.82830 ; 37.97810 ;-153.50000 ;-7.02700 ; 6.30000 ; 0.8167 ;
0.9476;0.9498;0.5578; 26.4720 ;0.3711; 24.7470 ;0.6317; 31.83260 ;-4.63420 ; 3.23070 ; 35.10750 ; 31.82860 ; 27.07290 ;-127.58228 ; 20.79850 ; 34.91460 ;-225.90000 ;-9.80210 ; 5.65630 ; 0.7332 ;
0.9065;0.9073;0.4366; 22.8702 ;0.2851; 22.0030 ;0.514; 28.81760 ;-6.84030 ; 2.42650 ; 31.67210 ; 28.85530 ; 24.15020 ;-250.06929 ; 17.81730 ; 31.92380 ;-332.30000 ;-13.80630 ; 4.93750 ; 0.6400 ;
0.8448;0.8365;0.3259; 19.4291 ;0.2124; 19.2239 ;0.3934; 25.90130 ;-9.74280 ; 1.76630 ; 28.46870 ; 25.89850 ; 21.27830 ;-484.45156 ; 14.85690 ; 28.94230 ;-509.40000 ;-19.44190 ; 4.06450 ; 0.5269 ;
0.9926;0.9919;0.8712; 38.3504 ;0.6844; 31.8779 ;0.8913; 40.78300 ;-1.88000 ; 6.65420 ; 46.08580 ; 40.79070 ; 30.30480 ;-60.61783 ; 29.88000 ; 44.09040 ;-115.50000 ;-3.45600 ; 6.17240 ; 0.8001 ;
0.9854;0.9857;0.7854; 34.1869 ;0.5752; 29.5368 ;0.8262; 37.82900 ;-3.13210 ; 5.32010 ; 42.32040 ; 37.82900 ; 27.33900 ;-119.99976 ; 26.85220 ; 40.96740 ;-169.30000 ;-4.90930 ; 6.46880 ; 0.8385 ;
0.9721;0.9732;0.6792; 30.2365 ;0.4693; 27.1940 ;0.7403; 34.83830 ;-4.94950 ; 4.20080 ; 38.60340 ; 34.89250 ; 24.53780 ;-228.71801 ; 23.88060 ; 37.84300 ;-254.20000 ;-6.96760 ; 5.48390 ; 0.7109 ;
0.9477;0.9496;0.5517; 26.4387 ;0.3687; 24.5007 ;0.6316; 31.81470 ;-7.79050 ; 3.19790 ; 35.02850 ; 31.87890 ; 21.70560 ;-439.05645 ; 20.84910 ; 34.65300 ;-391.60000 ;-9.87020 ; 5.03130 ; 0.6522 ;
0.931;0.9053;0.5023; 22.2869 ;0.4519; 19.4514 ;0.7479; 30.01060 ;-4.77580 ; 2.87050 ; 31.72210 ; 34.88350 ; 30.11690 ;-63.29805 ; 23.86940 ; 29.70210 ;-302.90000 ;-14.08550 ; 4.83870 ; 0.6272 ;
0.8753;0.8318;0.3851; 18.9748 ;0.3400; 16.2849 ;0.6425; 26.95170 ;-7.27040 ; 2.11920 ; 28.41270 ; 31.83340 ; 27.08070 ;-127.35335 ; 20.80520 ; 26.64390 ;-436.40000 ;-20.16530 ; 4.03330 ; 0.5228 ;
0.7874;0.7179;0.2811; 15.5498 ;0.2442; 13.1544 ;0.5218; 23.84640 ;-10.79710 ; 1.51180 ; 25.14060 ; 28.76450 ; 24.14390 ;-250.43231 ; 17.72690 ; 23.51690 ;-629.80000 ;-28.39210 ; 3.64520 ; 0.4725 ;
0.6772;0.584;0.2001; 12.5614 ;0.1690; 10.1788 ;0.4045; 21.00740 ;-14.71690 ; 1.06340 ; 22.20280 ; 25.90380 ; 21.30590 ;-481.38257 ; 14.86220 ; 20.72180 ;-916.20000 ;-39.39100 ; 3.09380 ; 0.4010 ;
0.9948;0.9973;0.9136; 40.6554 ;0.5512; 34.3360 ;0.8896; 40.07250 ;-2.38990 ; 9.34950 ; 51.02350 ; 35.08670 ; 30.13870 ;-62.98112 ; 24.07680 ; 47.31820 ;-137.70000 ;-4.12950 ; 6.19350 ; 0.8029 ;
0.9898;0.996;0.8564; 37.1722 ;0.4428; 31.2496 ;0.8073; 36.92320 ;-3.58320 ; 7.70280 ; 45.78200 ; 32.08900 ; 27.12970 ;-125.92454 ; 21.06020 ; 42.92920 ;-215.60000 ;-5.93830 ; 6.00000 ; 0.7778 ;
0.9802;0.9931;0.771; 31.6295 ;0.3415; 27.2733 ;0.6795; 33.56190 ;-5.23440 ; 6.11680 ; 40.26290 ; 29.03320 ; 24.07870 ;-254.22038 ; 17.99610 ; 38.12560 ;-351.10000 ;-8.80390 ; 5.28130 ; 0.6846 ;
0.9611;0.9858;0.651; 25.5092 ;0.2556; 22.3883 ;0.5103; 29.98380 ;-7.49280 ; 4.59910 ; 34.80690 ; 25.93270 ; 20.99740 ;-516.82125 ; 14.89070 ; 32.87950 ;-595.90000 ;-13.87940 ; 4.54840 ; 0.5896 ;
0.9829;0.9904;0.8263; 36.2331 ;0.4760; 31.9256 ;0.738; 39.33450 ;-2.44420 ; 5.92300 ; 46.52240 ; 34.79300 ; 30.02960 ;-64.58332 ; 23.77920 ; 44.06610 ;-106.00000 ;-3.83090 ; 7.00000 ; 0.9074 ;
0.9538;0.9741;0.6538; 29.4469 ;0.3300; 28.0965 ;0.5539; 34.40270 ;-4.77070 ; 4.01310 ; 40.20930 ; 29.82960 ; 25.12600 ;-199.74704 ; 18.79280 ; 38.94630 ;-210.30000 ;-6.81150 ; 5.80650 ; 0.7527 ;
0.8896;0.9266;0.4509; 23.0604 ;0.2223; 23.3515 ;0.3573; 29.40540 ;-8.76780 ; 2.53610 ; 34.07020 ; 24.94570 ; 20.35210 ;-599.61206 ; 13.90280 ; 33.31690 ;-474.40000 ;-12.33170 ; 4.87500 ; 0.6319 ;
0.771;0.8049;0.2666; 16.0121 ;0.1410; 17.3612 ;0.1948; 24.13190 ;-15.16930 ; 1.43820 ; 27.50490 ; 20.30040 ; 15.64610 ;-1.772.02711 ; 9.25480 ; 25.39190 ;-1.251.60000 ;-25.63300 ; 3.50000 ; 0.4537 ;
0.9696;0.9658;0.6621; 18.9420 ;0.5684; 25.5571 ;0.7997; 32.88900 ;-4.72620 ; 4.99770 ; 35.87320 ; 32.99420 ; 28.45090 ;-92.89458 ; 21.94800 ; 35.80600 ;-323.50000 ;-13.26700 ; 4.59380 ; 0.5955 ;
0.9397;0.9324;0.5082; 15.3290 ;0.3964; 22.5852 ;0.6623; 29.60530 ;-7.09800 ; 3.03180 ; 32.34850 ; 29.73330 ; 25.35510 ;-189.48305 ; 18.68640 ; 32.07110 ;-482.50000 ;-17.25960 ; 4.21880 ; 0.5469 ;
0.8868;0.8736;0.3737; 12.3472 ;0.2658; 19.5756 ;0.4954; 26.58450 ;-10.38880 ; 2.06420 ; 29.04340 ; 26.74370 ; 22.33260 ;-380.03217 ; 15.69630 ; 28.35080 ;-706.90000 ;-22.40830 ; 4.00000 ; 0.5185 ;
0.8081;0.7822;0.2626; 9.5703 ;0.1736; 16.2042 ;0.3455; 23.55390 ;-14.92030 ; 1.41350 ; 25.71060 ; 23.79930 ; 19.41120 ;-744.66400 ; 12.75290 ; 24.15090 ;-1.056.60000 ;-31.38480 ; 3.50000 ; 0.4537 ;
0.971;0.9696;0.614; 28.0048 ;0.4922; 20.0307 ;0.7714; 33.21090 ;-3.32040 ; 3.89240 ; 35.19000 ; 35.80990 ; 31.33700 ;-47.79477 ; 24.87500 ; 30.43830 ;-252.60000 ;-12.77130 ; 5.71880 ; 0.7413 ;
0.9527;0.9518;0.5836; 25.1340 ;0.4478; 18.1610 ;0.7568; 30.54230 ;-7.43360 ; 3.47660 ; 32.20700 ; 33.24440 ; 26.72930 ;-138.08623 ; 21.83360 ; 26.63200 ;-454.00000 ;-16.97380 ; 4.25810 ; 0.5520 ;
